"","Sample.name","Sample.collection.time","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex","Intensity","Rsquared"
"192","P26","13plus6","Core 2",1879.8892,"1-2-2-2",0.918960319541536,0.17506909401048
"652","P26","13plus6","Core 2",1881.9048,"0-4-0-4",0.545227704488911,0.17506909401048
"272","P26","13plus6","Core 2",1896.9044,"2-2-1-3",0.935293514199927,0.0508334379506578
"2882","P26","13plus6","Polyhexose",1905.8982,"0-0-0-9",0.928958975430595,0.00257419493946541
"322","P26","13plus6","Core 2",1913.9196,"3-2-0-4",0.818908848663558,0.745970511245459
"262","P26","13plus6","Core 2",1937.931,"2-3-1-2",0.781035449962595,0.205417128582263
"522","P26","13plus6","Core 2",1954.9462,"3-3-0-3",0.802651593158969,0.0167196069982658
"392","P26","13plus6","Core 2",1967.9416,"1-3-1-3",0.654516880679047,0.000878368514981039
"462","P26","13plus6","Core 2",1984.9568,"2-3-0-4",0.761084342527796,0.530194000632372
"302","P26","13plus6","Core 2",1995.9728,"3-4-0-2",0.721642942172714,0.571945377474944
"442","P26","13plus6","Core 2",2025.9834,"2-4-0-3",0.876347953800036,0.148636012565633
"682","P26","13plus6","Core 2",2055.994,"1-4-0-4",0.983645082079633,0.124975925053702
"2892","P26","13plus6","Polyhexose",2109.998,"0-0-0-10",0.841459214976161,0.100017251346576
"602","P26","13plus6","Core 2",2129.0354,"4-3-0-3",0.657157736371304,0.00882233062954898
"482","P26","13plus6","Core 2",2142.0308,"2-3-1-3",0.750898307821089,0.0384050429462049
"352","P26","13plus6","Core 2",2155.0262,"0-3-2-3",0.602302781816503,0.089501491629031
"552","P26","13plus6","Core 2",2159.046,"3-3-0-4",0.672231422263294,0.089501491629031
"413","P26","13plus6","Core 2",2172.0414,"1-3-1-4",0.69902292425531,0.221152251523571
"472","P26","13plus6","Core 2",2189.0566,"2-3-0-5",0.703225957089787,0.389640705157276
"532","P26","13plus6","Core 2",2200.0726,"3-4-0-3",0.74961922671607,1.7753049807659e-05
"402","P26","13plus6","Core 2",2213.068,"1-4-1-3",0.734836866057082,0.471554867477868
"752","P26","13plus6","Core 2",2230.0832,"2-4-0-4",0.561185677745062,0.0194779871989646
"662","P26","13plus6","Core 2",2243.0786,"0-4-1-4",0.571198806415126,0.0101370393645133
"702","P26","13plus6","Core 2",2260.0938,"1-4-0-5",0.498611183103949,0.331066939779489
"452","P26","13plus6","Core 2",2271.1098,"2-5-0-3",0.550500554039962,0.0945753685380366
"692","P26","13plus6","Core 2",2301.1204,"1-5-0-4",0.548286845540772,0.20893234097774
"2902","P26","13plus6","Polyhexose",2314.0978,"0-0-0-11",0.372762154785415,0.0128706102413961
"572","P26","13plus6","Core 2",2316.12,"3-3-1-3",0.38280398210379,0.0128706102413961
"422","P26","13plus6","Core 2",2329.1154,"1-3-2-3",0.50387903002408,0.215398137923391
"1062","P26","13plus6","Core 2",2331.131,"0-5-0-5",0.140677570387841,0.215398137923391
"632","P26","13plus6","Core 2",2333.1352,"4-3-0-4",0.475993202545175,0.215398137923391
"502","P26","13plus6","Core 2",2346.1306,"2-3-1-4",0.477518114524204,0.407061720856032
